127.0.0.1 - - [21/Jan/2020:14:41:19 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [21/Jan/2020:14:41:20 +0900] "GET /edu/ HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [21/Jan/2020:14:41:43 +0900] "GET /edu/ HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [21/Jan/2020:14:42:08 +0900] "GET /edu/WEB-INF/classes/kr/sds/edu/HomeController.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Jan/2020:14:42:08 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [21/Jan/2020:14:42:19 +0900] "GET /edu/ HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [21/Jan/2020:14:42:19 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [21/Jan/2020:14:56:17 +0900] "GET /edu/WEB-INF/classes/kr/sds/edu/HomeController.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Jan/2020:14:56:29 +0900] "GET /edu/ HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [21/Jan/2020:14:56:30 +0900] "GET /favicon.ico HTTP/1.1" 404 761
